evaluated_session,train_start,baseline_loss_SPY,model_loss_SPY,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_rmse,model_rmse,model_within_spread,baseline_within_spread,learned_coverage
2023-11-03,2023-01-04,5.906621294496006e-06,4.92049109644648e-06,2023-10-27,118,12397,116,0.01,5.906621294496006e-06,4.92049109644648e-06,0.0024303541500151796,0.0022182180002079327,0.13793103448275862,0.02586206896551724,1.0
2023-11-06,2023-01-04,6.389790703971742e-06,5.992075729744387e-06,2023-10-30,119,12511,90,0.01,6.389790703971742e-06,5.992075729744387e-06,0.0025278035334993384,0.0024478716734633757,0.2111111111111111,0.022222222222222223,1.0
2023-11-09,2023-01-04,5.316429514754733e-06,4.543716923472018e-06,2023-11-03,120,12627,101,1.0,5.316429514754733e-06,4.543716923472018e-06,0.002305738388186035,0.002131599616126823,0.21782178217821782,0.0594059405940594,1.0
2023-11-10,2023-01-04,4.255200622811024e-06,5.873377423447147e-06,2023-11-06,121,12717,108,1.0,4.255200622811024e-06,5.873377423447147e-06,0.002062813763482061,0.0024235051936084533,0.21296296296296297,0.046296296296296294,1.0
2023-11-13,2023-01-04,4.229125307910334e-06,5.253040628032839e-06,2023-11-09,122,12818,93,1.0,4.229125307910334e-06,5.253040628032839e-06,0.0020564837242026336,0.002291951270867869,0.17204301075268819,0.043010752688172046,1.0
2023-11-16,2023-01-04,5.783745955054138e-06,1.0570929427302272e-05,2023-11-10,123,12926,92,1.0,5.783745955054138e-06,1.0570929427302272e-05,0.002404941985798023,0.003251296576337242,0.17391304347826086,0.08695652173913043,1.0
2023-11-17,2023-01-04,6.1563792297112815e-06,9.719065426687481e-06,2023-11-13,124,13019,104,1.0,6.1563792297112815e-06,9.719065426687481e-06,0.002481205197018433,0.0031175415677561513,0.23076923076923078,0.15384615384615385,1.0
2023-11-20,2023-01-04,6.208170386701358e-06,8.744377747192843e-06,2023-11-16,125,13111,98,100.0,6.208170386701358e-06,8.744377747192843e-06,0.002491620032569444,0.0029570894046668326,0.24489795918367346,0.20408163265306123,1.0
2023-11-21,2023-01-04,8.636537084123273e-06,1.4432200780705706e-05,2023-11-17,126,13215,89,100.0,8.636537084123273e-06,1.4432200780705706e-05,0.0029387985783519213,0.003798973648329994,0.14606741573033707,0.2247191011235955,1.0
2023-11-22,2023-01-04,6.887801485141973e-06,1.3707211579827929e-05,2023-11-20,127,13313,94,100.0,6.887801485141973e-06,1.3707211579827929e-05,0.0026244621325410607,0.003702325158576422,0.18085106382978725,0.2553191489361702,1.0
2023-11-24,2023-01-04,6.871509186303703e-06,1.247647032465976e-05,2023-11-21,128,13402,99,100.0,6.871509186303703e-06,1.247647032465976e-05,0.002621356363851299,0.003532204739912419,0.2828282828282828,0.29292929292929293,1.0
2023-11-27,2023-01-04,5.811670550452275e-06,1.1425923210799693e-05,2023-11-22,129,13496,95,100.0,5.811670550452275e-06,1.1425923210799693e-05,0.0024107406642881095,0.003380225319531184,0.2631578947368421,0.2631578947368421,1.0
2023-11-29,2023-01-04,4.523092547414243e-06,1.0456922515434783e-05,2023-11-24,130,13595,93,100.0,4.523092547414243e-06,1.0456922515434783e-05,0.0021267563441575163,0.003233716517481825,0.25806451612903225,0.20430107526881722,1.0
