evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,baseline_loss_SPY,model_loss_SPY,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_rmse,model_rmse,model_within_spread,baseline_within_spread,learned_coverage
2026-02-13,2025-02-12,3.2977545628506724e-05,1.2832575051209379e-05,2.5867674502690095e-05,4.437501578250112e-06,2026-02-11,250,60183,346,0.01,2.9340415023681454e-05,8.537985442209985e-06,0.005416679335504498,0.0029219831351686453,0.2398843930635838,0.1531791907514451,1.0
2026-02-17,2025-02-13,2.7973277515149903e-05,1.007987305521129e-05,2.3837983281178436e-05,4.062430574006797e-06,2026-02-12,250,60347,315,0.01,2.55971243203917e-05,6.622231502519185e-06,0.005059360070245218,0.0025733696785575104,0.31746031746031744,0.20317460317460317,1.0
2026-02-18,2025-02-14,1.6779319107432674e-05,8.093975761122814e-06,2.1562516797790022e-05,4.2948990865079365e-06,2026-02-13,250,60507,320,0.01,1.938018285156448e-05,6.028227819300975e-06,0.004402292908424482,0.0024552449611598788,0.31875,0.21875,1.0
2026-02-19,2025-02-18,8.390440122598524e-05,5.3714827715479586e-05,,,2026-02-17,250,60632,124,0.01,8.390440122598524e-05,5.3714827715479586e-05,0.009159934564503463,0.007329040026871158,0.08064516129032258,0.008064516129032258,1.0
2026-02-20,2025-02-19,1.2039664758045205e-05,5.834794686251864e-06,,,2026-02-18,250,60749,159,1.0,1.2039664758045205e-05,5.834794686251864e-06,0.0034698220066806318,0.002415531967549149,0.46540880503144655,0.37735849056603776,1.0
2026-02-23,2025-02-20,1.926743671359301e-05,7.950100437028486e-06,2.8688936026703846e-05,4.496961939987978e-06,2026-02-19,250,60682,329,1.0,2.436478284652228e-05,6.081837055650947e-06,0.004936069574724639,0.00246613808527644,0.3525835866261398,0.270516717325228,1.0
2026-02-24,2025-02-21,4.312285789439561e-05,2.2354575995818658e-05,5.333773986487282e-05,2.437076365023059e-05,2026-02-20,250,60642,287,1.0,4.8461646380707736e-05,2.3408332609622807e-05,0.0069614399645983975,0.0048382158498379135,0.06968641114982578,0.0313588850174216,1.0
2026-02-25,2025-02-24,1.0318070659219652e-05,5.198241062543896e-06,1.3231651242176969e-05,4.9479059482724275e-06,2026-02-23,250,60772,317,100.0,1.1963278622466845e-05,5.056884641551488e-06,0.0034587972797587956,0.002248751796342026,0.42586750788643535,0.3249211356466877,1.0
2026-02-26,2025-02-25,9.06542073784627e-06,4.57504153219913e-06,1.5604949733855808e-05,4.492799044451169e-06,2026-02-24,250,60858,343,1.0,1.249724353458597e-05,4.5318822091827075e-06,0.003535144061362418,0.002128821788967481,0.3469387755102041,0.24198250728862974,1.0
2026-02-27,2025-02-26,0.00027237405122974715,0.00022188720342016964,2.9391706552899907e-05,5.122968716690853e-06,2026-02-25,250,60983,283,1.0,0.00012469573573710503,9.014356960745462e-05,0.011166724485591334,0.009494396747948478,0.0989399293286219,0.06007067137809187,1.0
2026-03-02,2025-02-27,1.8229922566212895e-05,8.92187214051452e-06,4.458938594385924e-05,1.4079009411245582e-05,2026-02-26,250,61128,309,0.01,3.1537612815121734e-05,1.1525475422825346e-05,0.005615835896384592,0.003394919059834173,0.1715210355987055,0.11974110032362459,1.0
2026-03-03,2025-02-28,2.3638944884211814e-05,1.3774824346943577e-05,4.505636276639973e-05,7.675494265147442e-06,2026-02-27,250,61212,270,1.0,3.728263331286486e-05,9.889325183725299e-06,0.006105950647758697,0.0031447297473273118,0.24814814814814815,0.17037037037037037,1.0
2026-03-04,2025-03-03,1.6323516604662456e-05,8.569773890710682e-06,3.0100174676306002e-05,4.808134701118889e-06,2026-03-02,250,61341,295,1.0,2.4122506089287784e-05,6.4403035698231234e-06,0.00491146679610967,0.0025377753190192237,0.29152542372881357,0.21694915254237288,1.0
