date,act_symbol,open,high,low,close
2019-06-05,AAPL,184.3900,184.9900,181.1400,182.5400
2019-06-06,AAPL,183.0000,185.4700,182.1490,185.2200
2019-06-07,AAPL,186.6300,191.9200,185.7700,190.1500
2019-06-10,AAPL,192.0000,195.3700,191.6200,192.5800
2019-06-11,AAPL,194.9300,196.0000,193.6000,194.8100
2019-06-12,AAPL,193.9900,195.9700,193.3850,194.1900
2019-06-13,AAPL,194.7000,196.7900,193.6000,194.1500
2019-06-14,AAPL,191.5500,193.5900,190.3000,192.7400
2019-06-17,AAPL,192.9000,194.9600,192.1700,193.8900
2019-06-18,AAPL,196.0500,200.2900,195.2100,198.4500
2019-06-19,AAPL,199.6800,199.8800,197.3100,197.8700
2019-06-20,AAPL,200.3700,200.6100,198.0300,199.4600
2019-06-21,AAPL,198.8000,200.8500,198.1500,198.7800
2019-06-24,AAPL,198.5400,200.1600,198.1700,198.5800
2019-06-25,AAPL,198.4300,199.2600,195.2900,195.5700
2019-06-26,AAPL,197.7700,200.9900,197.3500,199.8000
2019-06-27,AAPL,200.2900,201.5700,199.5700,199.7400
2019-06-28,AAPL,198.6800,199.5000,197.0500,197.9200
2019-07-01,AAPL,203.1000,204.4900,200.6500,201.5500
2019-07-02,AAPL,201.4600,203.1320,201.3600,202.7300
2019-07-03,AAPL,203.1300,204.4400,202.6900,204.4100
2019-07-05,AAPL,202.9000,205.0800,202.9000,204.2300
2019-07-08,AAPL,200.7800,201.4000,198.4100,200.0200
2019-07-09,AAPL,199.0500,201.5100,198.8100,201.2400
2019-07-10,AAPL,201.8500,203.7300,201.5600,203.2300
2019-07-11,AAPL,203.1500,204.3900,201.7100,201.7500
2019-07-12,AAPL,202.4400,204.0000,202.2000,203.3000
2019-07-15,AAPL,204.0600,205.8700,204.0000,205.2100
2019-07-16,AAPL,204.5900,206.1100,203.5000,204.5000
2019-07-17,AAPL,204.0500,205.0900,203.2700,203.3500
2019-07-18,AAPL,204.0000,205.8800,203.7000,205.6600
2019-07-19,AAPL,205.7900,206.5000,202.3600,202.5900
